category_id	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	price_min	price_min_before_discount	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
11035595	(HCM) ÁO THUN NAM NỮ FORM RỘNG HÀN QUỐC MÀU LOANG SIÊU ĐẸP THỜI TRANG SIÊU HOT CHO CÁC BẠN TRẺ KME STORE	TP. Hồ Chí Minh	1658668026	1665151713	6483687	True	None	False	18	False	5	6	0	0	0	0	3900000000	-1	5900000000	-1	3900000000	0	None	0	None	6	False	False	6	0	6
11035595	ÁO THUN TN TANTOP NI.KE TT01 - THỜI TRANG NAM VNXK	Khánh Hòa	1664440866	1665151713	710847	False	None	False	30	False	0	0	0	0	0	0	20500000000	-1	20500000000	-1	20500000000	0	None	0	None	0	False	False	6	0	0
11035595	ÁO THUN TAY NGẮN PU.MA AT76 - THỜI TRANG NAM VNXK	Khánh Hòa	1664678473	1665151713	473240	False	None	False	28	False	0	0	0	0	0	0	22500000000	-1	22500000000	-1	22500000000	0	None	0	None	0	False	False	9	0	0
11035595	ÁO THUN TAY NGẮN PU.MA AT240 - THỜI TRANG NAM VNXK	Khánh Hòa	1664692236	1665151713	459477	False	None	False	28	False	0	0	0	0	0	0	22000000000	-1	22000000000	-1	22000000000	0	None	0	None	0	False	False	8	0	0
11035595	Áo Sơ Mi Nam ICDN Astronaut Shirts Chính Hãng 160STORE Chuyển Nhiệt Full Tọa Tiết SMID0064	TP. Hồ Chí Minh	1664282503	1665151713	869210	False	5%	False	4	False	0	0	0	0	0	0	33250000000	35000000000	33250000000	35000000000	33250000000	35000000000	None	2	None	0	False	False	9	0	0
11035595	ÁO THUN TN AT525-THỜI TRANG NAM VNXK	Khánh Hòa	1664786475	1665151713	365238	False	None	False	20	False	0	0	0	0	0	0	22500000000	-1	22500000000	-1	22500000000	0	None	0	None	0	False	False	7	0	0
11035595	ÁO THUN THỂ THAO ADIDAS AT471 - THỜI TRANG NAM VNXK	Khánh Hòa	1664695055	1665151713	456658	False	None	False	24	False	0	0	0	0	0	0	18000000000	-1	18000000000	-1	18000000000	0	None	0	None	0	False	False	9	0	0
11035595	Áo thun tay ngắn ADIDAS AT589 - thời trang nam vxnk	Khánh Hòa	1664513342	1665151713	638371	False	None	False	36	False	0	0	0	0	0	0	18500000000	-1	18500000000	-1	18500000000	0	None	0	None	0	False	False	8	0	0
11035595	Áo thun tay lỡ form rộng, phông nam nữ oversize, T shirt phối tay Cali - 2N Unisex	TP. Hồ Chí Minh	1596513365	1665151713	68638348	True	37%	False	3	False	4.88861808432854	3795	220	49	17	23	7900000000	12500000000	7900000000	12500000000	7900000000	12500000000	None	3817	None	4104	True	True	6	0	10325
11035595	ÁO THUN TAY NGẮN FIL.A AT536 - THỜI TRANG NAM VNXK	Khánh Hòa	1664518190	1665151713	633523	False	None	False	24	False	0	0	0	0	0	0	23000000000	-1	23000000000	-1	23000000000	0	None	0	None	0	False	False	8	0	0
11035595	ÁO THUN TAY NGẮN NI.KE AT530 - THỜI TRANG NAM VNXK	Khánh Hòa	1664523707	1665151713	628006	False	None	False	20	False	0	0	0	0	0	0	22500000000	-1	22500000000	-1	22500000000	0	None	0	None	0	False	False	8	0	0
11035595	ÁO THUN TN NI.KE AT518 - THỜI TRANG NAM VNXK	Khánh Hòa	1664595883	1665151713	555830	False	None	False	24	False	0	0	0	0	0	0	23000000000	-1	23000000000	-1	23000000000	0	None	0	None	0	False	False	8	0	0
11035595	Áo Thun Nam Cổ Tròn ICDN Chính Hãng 160STORE Chất Liệu Cotton Co Giãn In Hình Đẹp ATEC0002	TP. Hồ Chí Minh	1618893133	1665151713	46258580	False	5%	False	8	False	4.933078393881453	1000	31	10	1	4	28405000000	29900000000	28405000000	29900000000	28405000000	29900000000	None	1956	None	1046	False	True	9	1	2277
